FIPS,2024 Urban Influence Code,"Percent of adults who are not high school graduates, 2019-23","Percent of adults who are high school graduates (or equivalent), 2019-23","Percent of adults completing some college or associate degree, 2019-23","Percent of adults with a bachelor's degree or higher, 2019-23",Economic_typology_2015,NATURAL_CHG_2023,DOMESTIC_MIG_2023,R_BIRTH_2023,R_NATURAL_CHG_2023,R_INTERNATIONAL_MIG_2023,R_DOMESTIC_MIG_2023,MEDHHINC_2023,PCTPOVALL_2023,Employed_2023,Unemployment_rate_2023,State_AK,State_AL,State_AR,State_AZ,State_CA,State_CO,State_DC,State_DE,State_FL,State_GA,State_HI,State_IA,State_ID,State_IL,State_IN,State_KS,State_KY,State_LA,State_MA,State_MD,State_ME,State_MI,State_MN,State_MO,State_MS,State_MT,State_NC,State_ND,State_NE,State_NH,State_NJ,State_NM,State_NV,State_NY,State_OH,State_OK,State_OR,State_PA,State_RI,State_SC,State_SD,State_TN,State_TX,State_UT,State_VA,State_VT,State_WA,State_WI,State_WV,State_WY
48103,0.3522713743325005,2.4039630345658147,0.9413062127089509,-2.03039886500499,-0.9536981705435734,0.10467740227301277,-0.1078894282987957,0.0007911709239708874,1.611830092818088,1.3594752575594964,-0.8028940866826394,-0.18749784330320995,-0.4452867988365663,-0.5053641863118306,-0.296959375273376,0.7465793379837518,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
48105,0.3522713743325005,4.194981636749066,-1.0908749961484485,-0.30355396988523703,-1.2828573094227638,0.10467740227301277,-0.12162497414083741,-0.02592524237928323,3.469913796609857,0.5240682940714276,-1.2718903714172485,-2.963349172634131,-0.4028303643803939,0.14279332045665954,-0.29814594108283865,-0.2364446894399214,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
48107,-0.42690514008091196,1.8838590559279496,0.5729894775637745,-0.91291610088273,-0.9744421547234149,-0.4454058593361754,-0.1460437223044671,-0.01487903303274547,1.1271126048724096,-0.8896973364468426,0.41649625362734416,-1.1709423142661648,-1.1747489948428316,1.2950733324895314,-0.2928548261977859,0.5008233311278336,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
48109,1.5210361459526192,2.8205804308581524,1.800005704241058,-4.08581581111358,-0.7609053838590433,1.204843925491389,-0.12238806002095083,0.007470274249784417,1.409864472840722,0.45980621995696086,-0.3807974304214913,0.8752566656406283,-0.6848623932678249,1.0790208302333675,-0.2996412561590492,-0.3183633583918942,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
48111,1.131447888745913,1.46438802504684,1.554169511897184,-2.2046795486382917,-0.8184659636331761,-0.9954891209453636,-0.03539626968802005,-0.05443987580871791,6.337825600288456,3.8442754566522135,5.716154271128426,-2.5826609903258904,-0.24568090484333285,-0.41534231037176245,-0.2839192591836695,-0.8098753721037311,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
48113,-1.5956699117010307,1.2911732740334898,-1.4828060373564302,-1.243439939205659,1.0641851324962632,-0.9954891209453636,14.795940896196564,-8.819735436581158,1.409864472840722,2.0663580728186313,2.855276934247311,-1.33749339402602,0.5384287875129485,-0.12727230736354467,8.20189693579611,0.17314865531994253,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
48115,0.3522713743325005,3.001100768538931,0.16728664019732767,-1.5502283454013503,-0.9413220315054379,-0.9954891209453636,-0.1025478271380017,-0.05366921004035481,1.854188836790928,0.9310614301297176,-0.24009854500110853,-1.6388715383533774,-0.6318525022468325,0.9349858287292591,-0.28117078531889383,0.5008233311278336,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
48117,-0.03731688287420572,3.166670963623186,0.934019731613791,-2.3342148927138293,-1.2021008194539677,-0.4454058593361754,-0.031580840287452915,-0.05803631606107904,2.9044100606732313,1.8521511591037418,0.6978940244681093,-1.2502523522470481,-0.32489248112870595,0.35884582271282284,-0.2544004077196913,-0.4002820273438671,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
48119,-0.8164933972876182,-0.21885803791475175,0.3260525123422334,0.6089276484640889,-0.4427496947215645,-0.4454058593361754,-0.1376497776232194,0.031874690247949235,0.4808226209448379,-0.33275936078812995,-0.521496315841874,1.5493919884781377,-0.5173414333136133,0.10678457008063245,-0.292412890972833,0.7465793379837518,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
48121,-1.5956699117010307,-0.8502752234182422,-2.2324380298585726,-0.4982372421529677,2.3973183372097258,-0.9954891209453636,5.068885182390699,4.947437849457252,0.27885700096747174,1.9378339245896976,1.2137899376761792,1.2480138441507806,2.5429183622872946,-1.513609196840593,3.0139224675587966,-0.07260735153597603,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
